SAAM Person,URI in SAAM,URI in DBPedia,URI found by karma,matched, ,No.1,No.2,No.3,No.4,No.5 ,,,
http://americanart.si.edu/saam/Person_4213,http://fusion.adx.isi.edu:8088/openrdf-workbench/repositories/SAAM3/explore?resource=ont0%3APerson_4213,http://dbpedia.org/resource/Augustus_Saint-Gaudens,http://dbpedia.org/resource/Augustus_Saint-Gaudens,0.99560536, same," [0.99560536]	(1.00000000|0.99710960== 1907 | 1907) 	(1.00000000|0.99849211== 1848 | 1848) 	(1.00000000|0.99999930== Augustus Saint-Gaudens | Augustus Saint-Gaudens) ",,,,," [0.00172301]	(0.00000000|0.03772000== ---- | ----) 	(0.00000000|0.04568000== ---- | ----) 	(0.85483873|0.99997610== Alexander Zeitlin | Alexander Aitkin) ",,
http://americanart.si.edu/saam/Person_4766,http://fusion.adx.isi.edu:8088/openrdf-workbench/repositories/SAAM3/explore?resource=ont0%3APerson_4766,http://dbpedia.org/resource/Abbott_Handerson_Thayer,http://dbpedia.org/resource/Abbott_Handerson_Thayer,0.99507043, same," [0.99507043]	(1.00000000|0.99650469== 1921 | 1921) 	(1.00000000|0.99856141== 1849 | 1849) 	(1.00000000|0.99999930== Abbott Handerson Thayer | Abbott Handerson Thayer) ",,,,,,,
http://americanart.si.edu/saam/Person_2426,http://fusion.adx.isi.edu:8088/openrdf-workbench/repositories/SAAM3/explore?resource=ont0%3APerson_2426,http://dbpedia.org/resource/Antonio_Jacobsen,http://dbpedia.org/resource/Antonio_Jacobsen,0.99487754, same," [0.99487754]	(1.00000000|0.99650469== 1921 | 1921) 	(1.00000000|0.99836784== 1850 | 1850) 	(1.00000000|0.99999930== Antonio Jacobsen | Antonio Jacobsen) "," [0.00172301]	(0.00000000|0.03772000== ---- | ----) 	(0.00000000|0.04568000== ---- | ----) 	(0.85714287|0.99997610== Antonio Jacobsen | Annie Jacobsen) ",,,,,,
http://americanart.si.edu/saam/Person_4104,http://fusion.adx.isi.edu:8088/openrdf-workbench/repositories/SAAM3/explore?resource=ont0%3APerson_4104,http://dbpedia.org/resource/Alfred_Philippe_Roll,http://dbpedia.org/resource/Alfred_Philippe_Roll,0.99482468, same," [0.99482468]	(1.00000000|0.99623117== 1919 | 1919) 	(1.00000000|0.99858889== 1846 | 1846) 	(1.00000000|0.99999930== Alfred Phillipe Roll | Alfred Philippe Roll) ",,,,,,,
http://americanart.si.edu/saam/Person_1325,http://fusion.adx.isi.edu:8088/openrdf-workbench/repositories/SAAM3/explore?resource=ont0%3APerson_1325,http://dbpedia.org/resource/Arthur_Wesley_Dow,http://dbpedia.org/resource/Arthur_Wesley_Dow,0.99469473, same," [0.99469473]	(1.00000000|0.99643368== 1922 | 1922) 	(1.00000000|0.99825553== 1857 | 1857) 	(1.00000000|0.99999930== Arthur Wesley Dow | Arthur Wesley Dow) "," [0.00172301]	(0.00000000|0.03772000== ---- | ----) 	(0.00000000|0.04568000== ---- | ----) 	(0.86666667|0.99997610== Arthur W. Dow | Arthur Ware) "," [0.00172301]	(0.00000000|0.03772000== ---- | ----) 	(0.00000000|0.04568000== ---- | ----) 	(0.86666667|0.99997610== Arthur W. Dow | Arthur Wood) "," [0.00172301]	(0.00000000|0.03772000== ---- | ----) 	(0.00000000|0.04568000== ---- | ----) 	(0.86419755|0.99997610== Arthur W. Dow | Arthur W. Nienhuis) "," [0.00172301]	(0.00000000|0.03772000== ---- | ----) 	(0.00000000|0.04568000== ---- | ----) 	(0.89855075|0.99997610== Arthur W. Dow | Arthur W. Fort) ",,,
http://americanart.si.edu/saam/Person_1688,http://fusion.adx.isi.edu:8088/openrdf-workbench/repositories/SAAM3/explore?resource=ont0%3APerson_1688,http://dbpedia.org/resource/A._B._Frost,http://dbpedia.org/resource/A._B._Frost,0.99465641, same," [0.99465641]	(1.00000000|0.99616279== 1928 | 1928) 	(1.00000000|0.99848852== 1851 | 1851) 	(1.00000000|0.99999930== A. B. Frost | A. B. Frost) "," [0.00172301]	(0.00000000|0.03772000== 1928 | ----) 	(0.00000000|0.04568000== 1851 | ----) 	(0.85454547|0.99997610== Arthur B. Frost | Arthur Box) "," [0.00172301]	(0.00000000|0.03772000== ---- | ----) 	(0.00000000|0.04568000== ---- | ----) 	(0.86666667|0.99997610== Arthur B. Frost | Arthur Brown) "," [0.00172301]	(0.00000000|0.03772000== ---- | ----) 	(0.00000000|0.04568000== ---- | ----) 	(0.85600001|0.99997610== Arthur B. Frost | Arthur Brooks) "," [0.00172301]	(0.00000000|0.03772000== ---- | ----) 	(0.00000000|0.04568000== ---- | ----) 	(0.85057473|0.99997610== Arthur B. Frost | Arthur B. Woodford) ",,,
http://americanart.si.edu/saam/Person_3281,http://fusion.adx.isi.edu:8088/openrdf-workbench/repositories/SAAM3/explore?resource=ont0%3APerson_3281,http://dbpedia.org/resource/Antonin_Merci%C3%A9,http://dbpedia.org/resource/Antonin_Merci%C3%A9,0.99462905, same," [0.99462905]	(1.00000000|0.99593398== 1916 | 1916) 	(1.00000000|0.99869045== 1845 | 1845) 	(1.00000000|0.99999930== Antonin Mercie | Antonin Mercie) "," [0.00172301]	(0.00000000|0.03772000== ---- | ----) 	(0.00000000|0.04568000== ---- | ----) 	(0.85714287|0.99997610== Antoine Mercie | Antoine Marguier) ",,,,,,
http://americanart.si.edu/saam/Person_4199,http://fusion.adx.isi.edu:8088/openrdf-workbench/repositories/SAAM3/explore?resource=ont0%3APerson_4199,http://dbpedia.org/resource/Albert_Pinkham_Ryder,http://dbpedia.org/resource/Albert_Pinkham_Ryder,0.9945007, same," [0.99450070]	(1.00000000|0.99591031== 1917 | 1917) 	(1.00000000|0.99858530== 1847 | 1847) 	(1.00000000|0.99999930== Albert Pinkham Ryder | Albert Pinkham Ryder) "," [0.00172301]	(0.00000000|0.03772000== ---- | ----) 	(0.00000000|0.04568000== ---- | ----) 	(0.86666667|0.99997610== Albert P. Ryder | Albert Paley) "," [0.00172301]	(0.00000000|0.03772000== ---- | ----) 	(0.00000000|0.04568000== ---- | ----) 	(0.85600001|0.99997610== Albert P. Ryder | Albert Piette) "," [0.00172301]	(0.00000000|0.03772000== ---- | ----) 	(0.00000000|0.04568000== ---- | ----) 	(0.85600001|0.99997610== Albert P. Ryder | Albert Prisco) ",,,,
http://americanart.si.edu/saam/Person_5568,http://fusion.adx.isi.edu:8088/openrdf-workbench/repositories/SAAM3/explore?resource=ont0%3APerson_5568,http://dbpedia.org/resource/Anders_Zorn,http://dbpedia.org/resource/Anders_Zorn,0.99449006, same," [0.99449006]	(1.00000000|0.99648628== 1920 | 1920) 	(1.00000000|0.99799744== 1860 | 1860) 	(1.00000000|0.99999930== Anders Zorn | Anders Zorn) ",,,,,,,
http://americanart.si.edu/saam/Person_1607,http://fusion.adx.isi.edu:8088/openrdf-workbench/repositories/SAAM3/explore?resource=ont0%3APerson_1607,http://dbpedia.org/resource/Am%C3%A9d%C3%A9e_Forestier,http://dbpedia.org/resource/Am%C3%A9d%C3%A9e_Forestier,0.99444864, same," [0.99444864]	(1.00000000|0.99603129== 1930 | 1930) 	(1.00000000|0.99841325== 1854 | 1854) 	(0.97647059|0.99999780== Sir Amedee Forestier | Amedee Forestier) ",,,,,,,
